window	Na	N0	Nb	Bt	musv	sfs1shape	sfs1mean	sfs2shape	sfs2mean
100	1000	1061	76	67	1.7004735152803563e-08	33.375234858761594	0.006513072994310314	21.32107388325755	0.09568803306019352
100	1000	1071	51	67	2.5572089464638978e-09	23.246024880264798	0.0017571531081486988	20.82583469876513	0.04690534256016308
100	1000	1301	66	67	2.375620154283978e-08	49.411518656246955	0.002428549266659544	22.87525997979021	0.060457866859469536
100	1000	1326	57	67	3.4402896061900824e-08	18.431898835921167	0.0007778143517484668	33.40483023520264	0.08254514692442211
100	1000	1581	83	67	4.878968541651995e-08	46.74918849145737	0.0010020196305953444	11.123631165733027	0.08951241022395638
100	1000	1746	124	67	3.6833475078571735e-08	40.60892064422721	0.003981597304600854	79.85456486773226	0.06910687121282175
100	1000	1750	299	67	1.0125270260419751e-07	89.64189856112067	0.0006772377728878693	93.98753441286115	0.08389343186808143
100	1000	1846	122	67	3.759652885494207e-08	6.6316779413653935	0.004875710956576442	64.974520749701	0.08197606612727497
100	1000	204	114	67	2.0691662618649587e-08	38.01858179404517	0.0024485363839886216	4.432096059958444	0.030500505818644476
100	1000	2300	73	67	8.699995722676549e-08	26.599932547226892	0.0004552236499108215	94.1924480288372	0.06361458832692765
100	1000	2578	65	67	1.6987773160444174e-09	40.85702026417057	0.004236368825780255	63.45490848617847	0.03882670478442673
100	1000	2722	133	67	2.7571170082003427e-08	55.46373374696006	0.004832724482737026	14.682910996613948	0.0602423863022241
100	1000	2747	27	67	1.7118486906678404e-08	31.87597244458294	0.00097458272273251	52.33997852034043	0.052540685849496505
100	1000	2946	111	67	4.849171432591856e-08	22.020792432622198	0.0057862063368688856	12.430769294671025	0.07812957456639616
100	1000	3569	87	67	3.1336988747708925e-08	61.85020085650662	0.003987007981999207	79.92693991270805	0.07442926002547008
100	1000	4785	119	67	5.128869671231919e-08	8.324726117691228	0.0004702814184559235	26.74298911140233	0.055277224284903774
100	1000	511	97	67	3.1340911144372415e-08	59.66727083370287	0.002853408159377273	103.63731405193741	0.058532589238939836
100	1000	58	47	67	1.1568679443043005e-08	72.4251114247825	0.0015871607465351592	17.17745960499793	0.02991260458943921
100	1000	85	117	67	4.4043003838373985e-08	0.5753756886087137	0.05351835713377224	17.990704907866036	0.05302704029524626
100	1000	860	126	67	2.9694015483900638e-08	78.47202101482053	0.001772247860879332	28.221008893184067	0.08465421701925026
101	1000	10784	110	67	1.6515732993196762e-08	21.610151972306557	0.005973385454384646	9.280550279652386	0.05109504622695624
101	1000	2047	37	67	3.2133728669613745e-08	24.726688012131817	0.010627861849783858	92.67446173742093	0.046320503813819434
101	1000	2304	41	67	4.308858782209779e-08	35.8772048752001	0.015833753558730748	63.208261408774426	0.058180990940256964
101	1000	2340	49	67	2.762957134267972e-08	47.596555556601416	0.01007074366190025	72.3839354857183	0.06626731519063322
101	1000	2491	35	67	5.329670606562783e-09	0.566458944014102	0.014067809570520574	82.13898911195787	0.0526764823658142
101	1000	2639	34	67	3.0843357650558134e-08	17.005032617881085	0.003765710669990718	94.71184554253668	0.051026675628542524
101	1000	2681	52	67	8.106195622394691e-08	31.391155655502946	0.002375021293723951	18.17378078850958	0.08768927189010359
101	1000	2753	84	67	1.591525507052668e-08	32.013988181360354	0.006674931377970785	24.64945702621009	0.09478032962200894
101	1000	2825	143	67	7.910453341907776e-08	62.96901871558864	0.0045543418576940746	92.0612311783435	0.09684039463956033
101	1000	3610	19	67	4.277116290659987e-08	12.29515714202243	0.0006902882712797605	62.40766924092681	0.0575553125156857
101	1000	3777	57	67	4.023569507295726e-08	45.82666072763358	0.007077348742119578	82.8466741909061	0.07466095861715435
101	1000	3882	22	67	3.4282055971245045e-08	53.21684811075634	0.00700423536203549	48.91250601861511	0.07042526334659799
101	1000	4072	126	67	3.360565272437701e-08	10.10794120482952	0.0017130455467444287	41.84590846335188	0.056033861490125514
101	1000	4198	33	67	6.708464685808913e-08	42.56058176016258	0.0029202287191300467	39.134292332528254	0.0524327334386968
101	1000	4267	3	67	3.371621713820576e-08	59.41295176068236	0.002471078437888957	49.366525262850345	0.09622472359433773
101	1000	530	15	67	3.308443297514913e-08	60.37377612959318	0.003043702066495508	67.30411783499619	0.084130954649918
101	1000	5703	6	67	4.146617309291228e-08	59.20185821705101	0.016204788165206315	36.08208878717651	0.060957408601492964
101	1000	5759	28	67	4.4946270484432215e-08	11.065727848241306	0.001148177674417342	96.1267138500004	0.046900063770641036
101	1000	5807	19	67	1.5590949029444474e-08	35.56477896293119	0.004187033918000443	33.69446219631028	0.0788167796595394
101	1000	8045	39	67	7.228750036418301e-08	75.11791160116634	0.005507943304900757	38.06777676105757	0.0921651805245555
104	1000	2850	8	67	1.1808331606315364e-08	25.220640413278225	0.02860367893584985	47.15502618995418	0.06749058076134178
104	1000	3292	42	67	1.0145348813943558e-08	33.832816813864866	0.0031020076908575426	91.76177193391877	0.0602321969653147
104	1000	3666	17	67	2.243430334958232e-08	89.37140770056959	0.001738309999142815	38.13032182871113	0.09068672380506186
104	1000	3722	24	67	3.6004349594087315e-08	63.864556847850935	0.0020537288976639942	80.23858888927698	0.10684435175233012
104	1000	3846	116	67	1.1514832809208011e-08	71.28661141956403	0.002031936424679581	100.99013323489537	0.10514342189789186
104	1000	3868	28	67	3.719408782588213e-08	51.36070164686076	0.0035653883315191217	85.62447450221202	0.09798588695647448
104	1000	5063	101	67	8.428315410936276e-09	65.6316917003493	0.006221099305230707	88.78973178250635	0.03226119063271811
